5. time.struct_time(tm_year=2025, tm_mon=12, tm_mday=17, tm_hour=4, tm_min=22, tm_sec=0, tm_wday=2, tm_yday=351, tm_isdst=0)
6. time.struct_time(tm_year=2025, tm_mon=12, tm_mday=7, tm_hour=5, tm_min=35, tm_sec=0, tm_wday=6, tm_yday=341, tm_isdst=0)
7. time.struct_time(tm_year=2025, tm_mon=12, tm_mday=6, tm_hour=2, tm_min=15, tm_sec=0, tm_wday=5, tm_yday=340, tm_isdst=0)
8. time.struct_time(tm_year=2025, tm_mon=12, tm_mday=2, tm_hour=5, tm_min=32, tm_sec=0, tm_wday=1, tm_yday=336, tm_isdst=0)
9. time.struct_time(tm_year=2025, tm_mon=11, tm_mday=24, tm_hour=6, tm_min=43, tm_sec=0, tm_wday=0, tm_yday=328, tm_isdst=0)
10. time.struct_time(tm_year=2025, tm_mon=11, tm_mday=21, tm_hour=6, tm_min=16, tm_sec=0, tm_wday=4, tm_yday=325, tm_isdst=0)
11. time.struct_time(tm_year=2025, tm_mon=11, tm_mday=18, tm_hour=3, tm_min=32, tm_sec=0, tm_wday=1, tm_yday=322, tm_isdst=0)
12. time.struct_time(tm_year=2025, tm_mon=11, tm_mday=11, tm_hour=7, tm_min=44, tm_sec=0, tm_wday=1, tm_yday=315, tm_isdst=0)
13. time.struct_time(tm_year=2025, tm_mon=11, tm_mday=7, tm_hour=6, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=311, tm_isdst=0)
14. time.struct_time(tm_year=2025, tm_mon=11, tm_mday=1, tm_hour=5, tm_min=43, tm_sec=0, tm_wday=5, tm_yday=305, tm_isdst=0)
15. time.struct_time(tm_year=2025, tm_mon=10, tm_mday=10, tm_hour=4, tm_min=7, tm_sec=0, tm_wday=4, tm_yday=283, tm_isdst=0)
16. time.struct_time(tm_year=2025, tm_mon=10, tm_mday=9, tm_hour=2, tm_min=7, tm_sec=0, tm_wday=3, tm_yday=282, tm_isdst=0)
17. time.struct_time(tm_year=2025, tm_mon=10, tm_mday=7, tm_hour=7, tm_min=2, tm_sec=0, tm_wday=1, tm_yday=280, tm_isdst=0)
18. time.struct_time(tm_year=2025, tm_mon=10, tm_mday=3, tm_hour=5, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=276, tm_isdst=0)
19. time.struct_time(tm_year=2025, tm_mon=9, tm_mday=21, tm_hour=7, tm_min=6, tm_sec=0, tm_wday=6, tm_yday=264, tm_isdst=0)
20. time.struct_time(tm_year=2025, tm_mon=9, tm_mday=10, tm_hour=0, tm_min=55, tm_sec=0, tm_wday=2, tm_yday=253, tm_isdst=0)
21. time.struct_time(tm_year=2025, tm_mon=9, tm_mday=4, tm_hour=7, tm_min=27, tm_sec=0, tm_wday=3, tm_yday=247, tm_isdst=0)
22. time.struct_time(tm_year=2025, tm_mon=8, tm_mday=31, tm_hour=8, tm_min=0, tm_sec=0, tm_wday=6, tm_yday=243, tm_isdst=0)
23. time.struct_time(tm_year=2025, tm_mon=8, tm_mday=24, tm_hour=5, tm_min=27, tm_sec=0, tm_wday=6, tm_yday=236, tm_isdst=0)
24. time.struct_time(tm_year=2025, tm_mon=8, tm_mday=8, tm_hour=7, tm_min=53, tm_sec=0, tm_wday=4, tm_yday=220, tm_isdst=0)
